Question,Answer
What medical services are offered at ISU?,"Student Health Services provides a variety of services, including general medical care, immunizations, allergy shots, women's health, and travel consultations."
How do I make an appointment with Student Health Services?,"You can make an appointment through the Secure Patient Health Portal, by calling (309) 438-2778, or scheduling online. Zoom appointments are available upon request."
What are the hours of operation for the medical clinic and pharmacy?,"Medical Clinic Hours: Monday - Friday, 8:00 AM - 4:30 PM. Pharmacy Hours: Monday - Friday, 8:00 AM - 5:00 PM"
Do I need health insurance to use Student Health Services?,"Health insurance is not required to use the services, but students are encouraged to have health insurance. You can find more information on health insurance options on the website."
How can I transfer my prescription to the ISU Pharmacy?,You can transfer your prescription to the ISU Pharmacy by following the instructions on the Prescription Transfer section of the website or through the secure health portal.
What is the immunization compliance policy?,Students must meet specific immunization requirements set by the state and university. Non-compliance can lead to a registration block and additional fees. Check the Immunization Compliance page for deadlines and requirements.
How do I report a class absence due to illness?,You can find more information about class absences related to illness in the Class Absence section of the website. The Health Services office does not issue class excuse notes for routine illnesses but can provide support for prolonged absences.
What should I do if I need medical help in an emergency?,"In a life-threatening emergency, always call 911 for immediate assistance. For more details, visit their Appointments, Medical Services, and Pharmacy sections on the website."
What is Student Access and Accommodation Services (SAAS)?,SAAS provides support for students with disabilities by determining and facilitating accommodations to ensure equal access to academic programs and activities.
How can I request accommodations at ISU?,"You can request accommodations through the Request Accommodations section on the website, which includes options for academic accommodations, animals, housing, religious accommodations, pregnancy, and more."
What are the documentation requirements for accommodations?,The Documentation Requirements section provides information on the necessary documentation that students must submit to qualify for accommodations.
How do I apply for accommodations at ISU?,"If youâ€™re new to SAAS, you can start the process by using the Start Today option for guidance on applying for accommodations."
What should I do if I need to appeal a decision related to my accommodations?,You can submit an appeal following the procedures outlined in the Appeals Policy section on the website.
How can I access my current accommodations or request additional ones?,Current students can access their accommodations or request additional ones through the Access AIM portal.
Where is SAAS located?,"SAAS is located in Fell Hall, Room 308. For more contact information, visit the Contact Us section. For more information, visit the Students section for resources on accessing and managing accommodations."
What transportation services are available on campus?,"The Office of Parking and Transportation offers various services such as Redbird Express and Universal Access-Connect Transit Service Routes, which are free with a valid ISU ID and provide transportation around campus and the greater Bloomington-Normal area."
How can I use Redbird Express?,"Redbird Express is a free shuttle service available to students, faculty, and staff. Information on routes and schedules can be found through Connect Transit."
Are there shuttle services for special events like Homecoming?,"Yes, there are Athletics Shuttles and services for events such as Homecoming, which provides transportation to and from the parade, tailgate lots, and the game."
How can I track the buses in real-time?,You can track buses in real-time by downloading the Connect Transit app available on both the Apple App Store and Google Play.
Where can I find the campus transit map and shuttle schedules?,"Current shuttle routes and schedules are available through Connect Transit's website and app. You can also find a campus transit map online for more detailed information. For more information about routes, schedules, and transit services, visit the Transportation Options page on their website."
How can I apply for student employment at ISU?,"You can apply for student employment through ISU Jobs, where you can create a single application for multiple positions, view open jobs, and track your application status."
What types of student employment positions are available?,"Student employment positions vary across departments and cover a wide range of interests, skill levels, and time commitments. Both on-campus and part-time off-campus positions are advertised."
What is the best time to apply for a student job?,"The best time to apply is between May and mid-August and again from November to the end of December, as many departments hire students prior to the start of each semester."
How many hours can I work as a student employee?,Students are limited to working no more than 28 hours per week across all on-campus positions while classes are in session.
How many hours per week do student employees typically work?,"On average, student employees work 10 hours per week, but the exact hours can vary depending on the department and position."
What is the pay for student employment?,"The pay varies by position. For details on compensation, refer to the Compensation section on the site. For more details, you can visit the ISU Jobs website and check the Eligibility and Compensation sections for further guidance."
What types of research activities and initiatives are featured at ISU?,"ISU showcases a variety of research activities including faculty-led projects, student research opportunities, interdisciplinary studies, and applied research initiatives. The web page often highlights breakthrough discoveries, ongoing projects, and collaborative efforts that address both local and global challenges."
Are there dedicated research centers or institutes at ISU?,"Yes. ISU features several research centers and institutes that foster interdisciplinary collaboration, provide state-of-the-art facilities, and support both faculty and student research through focused initiatives and strategic partnerships."
What opportunities does ISU offer for undergraduate research?,"Undergraduate students are encouraged to engage in research through assistantships, summer research programs, and collaborative projects with faculty. The site provides links and resources for undergraduates to learn how to get involved, apply for research funding, and even present their findings at conferences."
How are graduate students supported in their research endeavors?,"Graduate students at ISU benefit from robust research support, including access to internal funding, fellowships, and specialized research centers. The web page outlines resources that help graduate students connect with mentors, collaborate on interdisciplinary projects, and secure external grants."
How does ISU promote research collaboration both within and beyond the campus?,"Collaboration is a cornerstone of ISUâ€™s research culture. The university actively partners with other academic institutions, government agencies, industry leaders, and community organizations. These partnerships enable knowledge exchange and help translate research findings into practical applications that benefit society."
What funding opportunities are available to support research at ISU?,"The university offers a range of internal funding opportunities, such as seed grants and pilot project awards, and also provides guidance for applying to external federal, state, and private research grants. Detailed information about these opportunities is typically available on or linked from the research page."
How does ISU ensure that research impacts the community and society at large?,"Research at ISU is designed not only to advance academic knowledge but also to address real-world problems. Through applied research projects, policy studies, and community engagement initiatives, ISU aims to make tangible improvements in areas such as health, education, environmental sustainability, and economic development."
Where can I find more information about specific research projects or faculty research profiles?,"The research page often features news updates, project spotlights, and links to faculty profiles. These resources provide detailed information about ongoing research projects, recent discoveries, and the scholars behind the work, offering a closer look at the universityâ€™s research portfolio."
How does ISU support the dissemination of research findings?,"The university supports research dissemination through publications, conferences, public lectures, and digital repositories. ISU helps researchers share their work with academic peers and the broader public, ensuring that innovations and discoveries have a wide-reaching impact."
Who should I contact if I have questions about research opportunities or collaboration at ISU?,"For more detailed information or personalized guidance, you can contact the Office of Research or the designated research administrator listed on the research page. They can assist with inquiries about funding, partnership opportunities, and research programs."
What is the purpose of the Student Research page at ISU?,"The page is designed to promote and support student-led research initiatives at Illinois State University. It provides resources, funding opportunities, and guidance to help students engage in research, gain hands-on experience, and showcase their work."
Who is eligible to participate in student research at ISU?,"Generally, all undergraduate and graduate students are encouraged to participate. Specific programs or funding opportunities may have additional eligibility requirements, so itâ€™s important to review each opportunity carefully."
What types of research opportunities are available?,"The website features a range of opportunities including independent research projects, faculty-mentored research, summer research programs, and research assistantships. There are also opportunities to apply for internal grants and awards that fund student projects."
How do I get started with a research project?,"Begin by exploring the resources available on the page. You can review guides on finding research opportunities, learn how to develop a research proposal, and get tips on connecting with faculty mentors who can support your project."
Are there funding opportunities for student research?,"Yes. The site provides information on internal research grants and awards available to students. These funding opportunities can help cover project expenses such as materials, travel for research presentations, and other related costs."
How can I apply for a student research grant or award?,"The application process typically involves submitting a detailed project proposal, a budget, and a timeline for your research. Specific instructions and deadlines are provided on the page or through linked resources, so be sure to follow those guidelines closely."
What resources are available to help develop my research skills?,"ISU offers workshops, seminars, and training modules focused on research methodologies, data analysis, academic writing, and presentation skills. These resources are intended to help you build a strong foundation for conducting quality research."
Can I earn academic credit for my research?,"Many research opportunities can be structured as independent studies or integrated into course curricula, allowing you to earn academic credit. Itâ€™s best to discuss these options with your academic advisor or department."
How do I connect with a faculty mentor for my research project?,The website provides guidance on identifying and reaching out to faculty members whose research interests align with yours. There may be a directory or list of faculty profiles to help you find a suitable mentor.
What events are available for students to present their research?,"ISU hosts research symposiums, poster sessions, and conferences where students can present their findings to peers, faculty, and industry professionals. These events are excellent for networking and receiving valuable feedback."
How does participating in research benefit my academic and professional career?,"Engaging in research enhances your critical thinking, problem-solving, and analytical skills. It also strengthens your resume, provides opportunities for publication or conference presentations, and helps build professional networks that can support your future academic or career goals."
Are there online platforms for sharing or accessing student research?,"Some departments and ISU initiatives maintain digital repositories or online platforms where student research projects, papers, and presentations are showcased. Links to these resources can often be found on the Student Research page."
What disciplines or topics can I explore through student research at ISU?,"Student research at ISU is highly interdisciplinary. Whether your interests lie in the sciences, humanities, social sciences, business, education, or other fields, you are encouraged to explore innovative, cross-disciplinary projects that address contemporary challenges."
What support is available if I encounter challenges during my research project?,"The page offers contact information for research advisors and support staff who can provide guidance. Additionally, you can access peer groups, workshops, and departmental resources designed to help you overcome obstacles during your research journey."
Who should I contact if I have more questions about student research opportunities?,"For personalized assistance, you can reach out to the office or coordinator responsible for student research at ISU. Contact details are usually provided on the page, so feel free to email or call for more information."
What is the purpose of the Graduate Academics page?,"The page is designed to provide prospective and current graduate students with an overview of ISUâ€™s graduate programs, resources, and academic support services. It serves as a gateway to program-specific information, research opportunities, and tools that help students succeed in their graduate studies."
What types of graduate programs are offered at ISU?,"ISU offers a diverse range of graduate programs including masterâ€™s degrees, doctoral programs, and certificate programs across various fieldsâ€”such as the liberal arts, sciences, education, business, and interdisciplinary studies."
How do I find detailed information about a specific graduate program?,"The Graduate Academics page includes navigation links and search tools that direct you to individual program pages. These pages provide in-depth details on curriculum, faculty, research opportunities, admissions requirements, and career outcomes for each program."
What academic support resources are available for graduate students at ISU?,"Graduate students benefit from a range of support services, including academic advising, career counseling, research centers, writing centers, and access to state-of-the-art libraries and technology. These resources are designed to assist with coursework, research projects, and professional development."
How is research integrated into the graduate experience at ISU?,"Research is a key component of ISUâ€™s graduate programs. The page highlights opportunities for faculty-mentored research, interdisciplinary projects, access to internal and external funding, and platforms for presenting your researchâ€”ensuring that graduate students engage in meaningful scholarly inquiry."
Are there opportunities for interdisciplinary study?,"Yes. ISU encourages interdisciplinary collaboration among its graduate students, offering programs and research initiatives that bridge traditional academic boundaries. This allows students to tailor their studies to complex, real-world challenges."
How do I apply to a graduate program at ISU?,"Although the detailed application process is outlined on the Graduate Admissions page, the Graduate Academics page provides direct links to program-specific application portals and resources. Prospective students are advised to review each programâ€™s admissions requirements and deadlines before applying."
What distinguishes ISUâ€™s graduate programs from those at other institutions?,"ISUâ€™s graduate programs are characterized by strong faculty mentorship, a commitment to research and interdisciplinary collaboration, robust academic support services, and a focus on real-world impact. These elements help prepare students for successful careers and leadership roles in their fields."
Where can I find curriculum details and course offerings for graduate programs?,"Detailed information about course requirements, electives, and program structures is available through links to the graduate catalog and individual program pages. These resources help you understand the academic pathway and expectations for each program."
What career development resources are available for graduate students?,"ISU offers extensive career services including workshops, seminars, networking events, and internships. These resources help graduate students build professional connections, enhance their resumes, and prepare for post-graduate career opportunities."
Are there flexible or non-traditional study options for graduate students?,"Yes. ISU accommodates working professionals and non-traditional students by offering part-time, online, and evening programs as well as certificate programs. These options provide flexibility for students who need to balance their studies with other responsibilities."
What role do faculty play in supporting graduate students?,"Faculty at ISU are actively involved in graduate educationâ€”they mentor students, supervise research projects, and often lead interdisciplinary initiatives. Their expertise and guidance are integral to the graduate learning experience."
How do graduate students engage with the broader academic community at ISU?,"Graduate students are encouraged to participate in academic conferences, research symposiums, seminars, and interdisciplinary workshops. These activities foster collaboration, intellectual exchange, and professional networking."
How is the success of ISUâ€™s graduate programs measured?,"Success is often reflected in high graduation rates, strong employment outcomes, published research, and the active involvement of graduate students in innovative projects. ISU continually assesses these metrics to ensure the quality and impact of its graduate education."
Who can I contact for more information about graduate academics at ISU?,"For additional details or personalized guidance, you can reach out to the Office of Graduate Studies or contact the academic department of your interest. Contact information and further resources are typically available on the Graduate Academics page or through linked departmental pages."
What is the purpose of the Doctoral section on ISUâ€™s Graduate Academics page?,"This section is dedicated to providing prospective and current doctoral students with key information about ISUâ€™s doctoral programs, including program details, research opportunities, academic support, and professional development resources."
What types of doctoral programs does Illinois State University offer?,"ISU offers doctoral programs across various disciplines that prepare students for careers in research, academia, and professional practice. Although specific programs vary by department, they are designed to foster original research, interdisciplinary collaboration, and advanced scholarship."
Who is eligible to apply for a doctoral program at ISU?,"Generally, applicants should hold a masterâ€™s degree (or its equivalent) in a related field, demonstrate a strong academic record, and show potential for conducting original research. Specific prerequisites and requirements can vary by program."
What are the key components of a doctoral application at ISU?,"The application typically requires submission of official transcripts, letters of recommendation, a statement of purpose outlining research interests and career goals, and, for some programs, standardized test scores (e.g., GRE) or writing samples."
How does ISU support doctoral students in their research endeavors?,"ISU provides robust support through faculty mentorship, access to interdisciplinary research centers, internal funding opportunities (such as fellowships and assistantships), and state-of-the-art research facilities and libraries to help students develop and conduct their research projects."
What research opportunities are available for doctoral students?,"Doctoral students at ISU can engage in original research projects, collaborate with leading faculty, publish in academic journals, and present their work at conferences. Many programs also offer opportunities for interdisciplinary research and external grant applications."
What academic and professional development resources are available for doctoral students?,"ISU offers a range of resources, including academic advising, specialized workshops, seminars, teaching assistantships, career counseling, and networking eventsâ€”all aimed at enhancing both scholarly and professional skills."
How do ISUâ€™s doctoral programs prepare students for their future careers?,"The programs combine rigorous coursework with extensive research training, practical teaching experience, and professional development activities. This comprehensive approach equips students for academic positions, research leadership roles, and professional careers in various sectors."
Are interdisciplinary studies encouraged in ISUâ€™s doctoral programs?,"Yes. ISU actively promotes interdisciplinary research, allowing doctoral students to work across traditional academic boundaries and collaborate on projects that address complex, real-world issues."
What is the typical time frame for completing a doctoral degree at ISU?,"The duration of doctoral programs varies by discipline and individual progress but generally ranges from 4 to 7 years. Factors such as research project scope, dissertation requirements, and program structure influence the overall timeline."
What role do faculty mentors play in the doctoral journey?,"Faculty mentors guide students through coursework, research design, and the dissertation process. They provide critical feedback, help refine research questions, and support professional growth through their expertise and experience."
Can doctoral students gain teaching experience while pursuing their degree?,Yes. Many doctoral programs include opportunities for teaching assistantships or instructing undergraduate courses. This teaching experience is valuable for those planning academic careers and enhances overall professional development.
What funding opportunities are available for doctoral students?,"Doctoral students may access various forms of financial support including fellowships, research and teaching assistantships, and grants. These funding opportunities help cover tuition costs and provide stipends to support living expenses during the program."
"Where can I find detailed, program-specific information about ISUâ€™s doctoral studies?","Detailed information is available on the individual program pages linked from the Graduate Academics site. These pages include curriculum details, faculty research interests, specific admission requirements, and other resources tailored to each doctoral program."
Who should I contact if I have additional questions about the doctoral programs at ISU?,"For further information or personalized guidance, you can contact the Office of Graduate Studies or the academic department offering your area of interest. Contact details are typically provided on the doctoral program pages or within the Graduate Academics section."
What is the purpose of the Certificates section?,"This section provides information on specialized certificate programs offered through ISUâ€™s Graduate School. These programs are designed to help you gain focused expertise, acquire practical skills, and earn credentials that can complement your graduate degree or serve as standalone qualifications."
What types of certificate programs are available?,"ISU offers a variety of certificate programs across diverse disciplinesâ€”including business, education, technology, health, and interdisciplinary fields. Each certificate is tailored to provide specialized training in a specific area of interest."
Who is eligible to enroll in certificate programs?,Certificate programs are open to both current graduate students and working professionals. They are ideal for individuals seeking to enhance their expertise or obtain additional credentials without committing to a full graduate degree.
"Are certificate programs offered on-campus, online, or both?","Many certificate programs at ISU are designed with flexibility in mind, offering options for both on-campus and online learning. This flexibility makes it easier for working professionals or those with other commitments to pursue additional qualifications."
How do certificate programs complement a graduate degree?,"For graduate students, earning a certificate allows you to specialize further in an area that supports your primary field of study. For others, a certificate provides a focused education that can enhance career prospects, bridge skill gaps, or serve as a stepping stone toward a full graduate program."
How do I apply for a certificate program?,"The application process for certificate programs is generally integrated with ISUâ€™s graduate application system. Detailed instructions and links are provided within the Certificates section, guiding you through the steps to submit your application and required materials."
What are the benefits of obtaining a certificate from ISU?,"Earning a certificate can boost your resume by demonstrating specialized knowledge and skills. It can help you stand out in competitive job markets, support career advancement, and provide practical, industry-relevant training that is recognized by employers."
Can certificate credits be applied toward a full graduate degree later?,"In many cases, credits earned from certificate programs may be transferable to a full graduate degree program, subject to departmental policies. Itâ€™s advisable to discuss credit transfer options with an academic advisor when planning your academic pathway."
What academic support and resources are available to certificate students?,"Certificate students benefit from many of the same academic resources as full-time graduate students. This includes access to library services, research centers, academic advising, and career development programs, all of which help ensure you gain both theoretical and practical advantages from your studies."
How long does it typically take to complete a certificate program?,"The duration of certificate programs varies depending on the subject matter and structure. Some certificates may be completed in a single semester, while others could extend over a year or more, allowing you to choose a pace that fits your schedule."
Which career fields commonly benefit from ISUâ€™s certificate programs?,"Certificate programs are particularly valuable in fields that demand specialized skillsâ€”such as business analytics, technology management, healthcare administration, education leadership, and other areas where focused, practical training can enhance professional competence."
Who should I contact if I have further questions about certificate programs?,"For additional information or personalized guidance, you can reach out to the Office of Graduate Studies or the specific academic department offering the certificate program. Contact details are typically available on the Certificates section or via the overall Graduate Academics page."
What is my student ID number?,Your student’s identification includes a 9 digit University Identification Number (UID) on the Redbird Card and a separate 10?digit billing ID (EMPL ID) on the statement. Either number can be used to access account details.
How do I pay for my textbooks?,Textbooks are considered an out of pocket expense and are not billed through the university. They must be purchased at the campus bookstore or online.
I’m helping my student pay—how do I access their account?,"Parents or other payers should be added as Authorized Users. This grants secure online access to view billing details, make payments, set up payment plans, and receive notifications without exposing academic records."
Why am I being charged Student Health Insurance?,Eligible students (those registering for 9 or more credit hours in fall/spring or 6 in summer) are automatically assessed a health insurance fee to ensure worldwide coverage. A waiver is available if alternate coverage is provided.
What is the Financial Responsibility Agreement (FRA)?,"The FRA is a signed acknowledgment that the student is responsible for all incurred charges (tuition, fees, etc.) for the semester. It must be completed before registration; otherwise, a hold is placed on the account."
Why do I have a hold on my account?,"Holds may occur for reasons such as unpaid balances, returned checks, or an incomplete FRA. Specific details can be viewed by logging into My.IllinoisState."
How do I get information for employer reimbursement?,"Billing statements, payment records, and grade details are available through the online billing portal and Student Service Center. Follow the Tuition Reimbursement Requirements guide for complete instructions."
What if my student has a tuition sponsor?,"The sponsor must submit verification (a letter, voucher, or similar documentation) to the Student Accounts Office before any third?party payment is processed."
Where can I cash a check from Illinois State University?,Refund and payroll checks (up to $300) can be cashed at the Cashiers Office in the Student Accounts Building.
How much do tuition and fees cost?,"Tuition is charged on a per?credit?hour basis with additional mandatory fees—and for some programs, differential tuition. Detailed rates and fee structures are available on the Billing & Tuition Information page."
Why am I paying more for certain programs?,"Differential tuition applies to programs that offer enhanced facilities, specialized instruction, or extra scholarship opportunities."
What are mandatory fees and why must they be paid?,Mandatory fees cover administrative costs for services provided to all students and are a required component of the overall cost of attendance.
Why do I need to pay the Outreach – FCR fees?,"For some specialized programs, these fees cover the costs of delivering off?campus or online instruction. Students assessed this fee are not automatically charged student insurance unless they opt in."
Why is my student charged tuition and fees for an internship?,"Even off?campus internships incur administrative and supervision costs; hence, tuition is assessed when credit is received."
What is Tuition Insurance/Protection (GradGuard)?,"Tuition insurance protects your investment by reimbursing tuition, housing, and fees if a student must withdraw mid?semester for a covered reason. It complements the university’s refund policy."
"Are housing, meal, and tuition charges on the same bill?","Yes. All charges are itemized on one online billing statement, though they are shown as separate line items."
How do I view my bill?,"Bills (on?demand statements) become available via the online billing portal on set release dates (e.g., August 1 for fall, January 1 for spring, May 1 for summer)."
How do I access my account balance?,The account balance is viewable through the online billing portal in My.IllinoisState. Authorized Users have the same access privileges.
How do I make a payment?,"Payments can be made online, by mail, or in person. Online methods include credit card payments (with a convenience fee), direct deposit, or payment plan options."
Can I pay my bill with a credit card?,"Yes, credit card payments are accepted through the online portal, though a convenience fee applies."
What happens if my payment is late or my account is overdue?,"Late payments may result in additional fees, account holds that block registration, and eventual collections efforts."
Where do I send 529 Savings Plan checks?,529 Savings Plan checks should be sent directly to the Student Accounts Office.
Which payment plan should I use if a 529 plan is involved?,The appropriate plan depends on whether the 529 covers the full balance or leaves a remainder. Detailed guidance is available on the 529 Plans page.
What should I do about scholarship checks or inquiries?,"For scholarship-related questions or mailing instructions, please refer to the Scholarships page on the ISU website."
Why would my student receive a refund?,"Refunds are issued when overpayments occur (for example, if financial aid exceeds current charges) or when adjustments are made after payment."
Will my student receive a refund if a course is dropped or they withdraw?,Refund eligibility depends on the timing of the withdrawal and the applicable charges. See the University Registrar’s guidelines and Course/Withdrawal policies for details.
When will my refund be issued?,"Refund processing begins before classes start. eRefunds are typically posted on designated refund days (often Friday), and paper checks are mailed shortly thereafter."
How is my refund delivered?,Refunds are issued either by direct deposit (eRefund) or via a mailed paper check to the registered address.
Where do Parent PLUS loan refunds go?,Parent PLUS loan refunds are sent to the borrower’s mailing address unless excess funds are released directly to the student.
Why does my Student Refund appear as a charge on my account?,"Due to accounting practices balancing debits and credits, refunds are recorded in the “charges” column to maintain an accurate account balance."
How is financial aid applied to my student’s account?,"Once processed, financial aid is applied to the current term’s charges. Any remaining balance must be paid with personal funds or other financing."
What should I do if financial aid isn’t showing up on the account?,"Verify that all requirements on the My.IllinoisState To?Do List are completed. If problems persist, contact the Financial Aid Office."
Can next semester’s financial aid be used for the current term?,No. Financial aid applies only to the semester for which it is awarded.
How do international students pay via TransferMate?,"International payments are made by logging into the student account, selecting TransferMate INTL from the payment options, reviewing the applicable rate, and following the instructions."
What fees does TransferMate charge?,"International transactions via TransferMate are free, while domestic transactions incur a fee of $20."
How do I know if my TransferMate payment was successful?,Successful payments are confirmed by email and appear in the Payment History once pending transactions are cleared.
Can family members or Authorized Users access my student’s account?,Yes. Authorized Users can view billing details and make payments but cannot access academic records or saved payment methods.
What should I do if I notice a billing error or discrepancy?,Contact the Student Accounts Office immediately using the contact information provided on the billing portal or website to resolve any discrepancies.
How do I update my student’s personal information on their account?,Changes should be made via My.IllinoisState or by contacting the appropriate campus office. Keeping information updated is essential for receiving accurate billing and notifications.
When does class registration begin for the upcoming semester?,"Course registration for the Fall 2025 semester is scheduled to begin on Monday, March 24, 2025, at 8:30 a.m."
